GLITTER4.5: Laser Ablation Analysis Results;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C:\Element\user\Administrator\data\250605 Marijn Apetite 2\250605 Marijn Apetite 2.FIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Created: Thu Jun 05 18:07:32 2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
All values are reported in ppm;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: Trace Element Concentrations MDL filtered.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-6;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Cd111;0.213;0.22;<0.00000;0.553;1.51;1.35;<0.00000;3.01;<0.00000;0.26;<0.00000;2.03;<0.00000;1.03;<0.00000;0.521;0.393;1.03;1.03;<0.00000;<0.00000;1.48;<0.00000;0.32;0.374;0.66;0.452;0.176
Ba137;0.147;0.145;0.121;0.158;0.848;0.928;0.908;0.905;0.76;0.152;0.217;0.961;0.815;0.564;0.685;0.184;0.232;0.591;0.595;0.866;0.685;0.75;0.568;0.214;0.208;0.166;0.159;0.181
Ba138;0.0509;0.0451;0.0518;0.0609;0.359;0.303;0.349;0.331;0.314;0.0592;0.0764;0.377;0.292;0.196;0.239;0.0718;0.0851;0.262;0.257;0.337;0.248;0.237;0.255;0.0844;0.0856;0.0698;0.0708;0.0724
Pb208;0.0141;0.011;0.0969;0.00931;0.058;0.0389;0.019;<0.00000;0.0344;<0.00000;0.00879;0.0443;0.0555;0.0113;0.0141;0.0038;0.00623;0.0286;0.0143;0.0418;0.0266;0.0186;<0.00000;0.00455;0.0158;0.00673;0.00845;0.0089
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLITTER!: Trace element concentrations normalised to chondrite.;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Element;N612-1;N612-2;N612-3;N610-1;2024-24-Colo-1;2024-24-Colo-2;2024-24-Colo-3;2024-24-Colo-4;2024-24-Colo-5;N612-4;N610-2;2024-24-Colo-6;2024-24-Colo-8;2024-24-Colo-9;2024-24-Colo-10;N612-5;N610-3;2024-24-Colo-11;2024-24-Colo-12;2024-24-Colo-13;Bonn-062-L9-Colo-14;Bonn-062-L9-Colo-15;Bonn-062-L9-Colo-16;N610-4;N610-5;N612-6;N612-7;N612-8
Ca43;6.32;6.32;6.32;6.04;21.18;21.18;21.18;21.18;21.18;6.32;6.04;21.18;21.18;21.18;21.18;6.32;6.04;21.18;21.18;21.18;21.18;21.18;21.18;6.04;6.04;6.32;6.32;6.32
Ca44;6.27;6.58;6.64;6.35;19.7;19.17;19.82;18.53;20.47;5.85;5.42;21.51;21.55;26.33;22.21;5.9;5.59;22.33;23.08;21.47;25.2;25.3;22.4;5.62;5.97;6.2;6.58;6.59
Cr52;0.00958;0.00949;0.0101;0.123;0;0;0;0.00177;0;0.0112;0.126;0.00341;0;0.00057;0;0.0112;0.125;0;0;0;0.00109;0;0.00112;0.122;0.118;0.0096;0.0098;0.0098
